Use of implicit split to @_ is deprecated at /home/www/pm/M/Validation.pm line 387.
Use of implicit split to @_ is deprecated at /home/www/pm/M/Validation.pm line 400.
Use of implicit split to @_ is deprecated at /home/www/pm/M/Guess.pm line 1822.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value in hash element at /home/www/pm/M/Myload.pm line 220.
Use of uninitialized value in hash element at /home/www/pm/M/Myload.pm line 221.
"my" variable $type masks earlier declaration in same statement at /home/www/pm/M/bannerTableCand.pm line 530.
"my" variable $type masks earlier declaration in same statement at /home/www/pm/M/bannerTableCand.pm line 544.
Use of uninitialized value $i2n{"102"} in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value within %i2n in list assignment at /home/www/pm/M/List.pm line 96.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 191.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 192.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 193.
Use of uninitialized value $parameters in pattern match (m//) at /home/www/pm/M/Myload.pm line 194.
